,Main_sector,new_permalink,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,founded_at,Primary_sector,total_count,total_amount_invested
648,Cleantech / Semiconductors,/organization/ dance-biopharm,/organization/dance-biopharm,/funding-round/c66e4ac0a987689a3d3bfcd703889729,venture,NA,18-02-2015,9500000.00,/Organization/Dance-Biopharm,Dance Biopharm,http://dancebiopharm.com/,Bio-Pharm|Health and Wellness|Health Care|Medical,operating,USA,CA,SF Bay Area,Brisbane,1/1/2010,Bio-Pharm,1950,17796003033
649,Cleantech / Semiconductors,/organization/ lucidity-lights,/ORGANIZATION/LUCIDITY-LIGHTS,/funding-round/3e91883210688c52348a5401e32495e0,venture,NA,6/4/2014,10779829.00,/Organization/Lucidity-Lights,"Lucidity Lights, Inc.",http://finallybulbs.com,Energy Efficiency|Lighting,operating,USA,MA,Boston,Charlestown,1/5/2010,Energy Efficiency,1950,17796003033
650,Cleantech / Semiconductors,/organization/ danotek-motion-technologies,/ORGANIZATION/DANOTEK-MOTION-TECHNOLOGIES,/funding-round/62c72e36b5cb33b4a5452db9ae85411a,venture,NA,19-11-2008,14500000.00,/Organization/Danotek-Motion-Technologies,Danotek Motion Technologies,http://www.danotekmotion.com,Clean Technology,closed,USA,MI,Detroit,Canton,1/1/2001,Clean Technology,1950,17796003033
651,Cleantech / Semiconductors,/organization/ lion-semiconductor,/ORGANIZATION/LION-SEMICONDUCTOR,/funding-round/caba0047e9def42c4ff31ad5e9d77032,venture,NA,12/5/2015,9995718.00,/Organization/Lion-Semiconductor,Lion Semiconductor Inc,http://www.lionsemi.com,Semiconductors,operating,USA,CA,SF Bay Area,San Francisco,1/1/2013,Semiconductors,1950,17796003033
652,Cleantech / Semiconductors,/organization/ histosonics,/ORGANIZATION/HISTOSONICS,/funding-round/0462b31ca66e69820dc476dc67bc68d4,venture,B,19-05-2014,14172418.00,/Organization/Histosonics,HistoSonics,http://www.histosonics.com,Biotechnology,operating,USA,MI,Detroit,Ann Arbor,1/1/2009,Biotechnology,1950,17796003033
653,Cleantech / Semiconductors,/organization/ frx-polymers,/organization/frx-polymers,/funding-round/68968e34f58bee19a149f88fc304aa85,venture,C,15-01-2014,12000000.00,/Organization/Frx-Polymers,FRX Polymers,http://www.frxpolymers.com,Clean Technology,operating,USA,MA,Boston,Chelmsford,1/1/2007,Clean Technology,1950,17796003033
654,Cleantech / Semiconductors,/organization/ profusa,/organization/profusa,/funding-round/a5670759058222ca5821d3c9ee6932b7,venture,NA,2/7/2015,11259301.00,/Organization/Profusa,Profusa,http://profusacorp.com,Biotechnology,operating,USA,CA,SF Bay Area,San Francisco,1/1/2009,Biotechnology,1950,17796003033
655,Cleantech / Semiconductors,/organization/ milestone-scientific,/ORGANIZATION/MILESTONE-SCIENTIFIC,/funding-round/ad5ef556765d5e959caafef90689b41e,venture,NA,20-05-2014,10000000.00,/Organization/Milestone-Scientific,Milestone Scientific,http://milestonescientific.com,Biotechnology,ipo,USA,NJ,Newark,Livingston,1/1/1995,Biotechnology,1950,17796003033
656,Cleantech / Semiconductors,/organization/ xelerated,/organization/xelerated,/funding-round/4c3c9bb417a683294cb99d769533c9ab,venture,B,16-10-2001,12000000.00,/Organization/Xelerated,Xelerated,http://www.xelerated.com,Semiconductors,acquired,USA,CA,SF Bay Area,Santa Clara,1/1/2000,Semiconductors,1950,17796003033
657,Cleantech / Semiconductors,/organization/ intellicyt,/ORGANIZATION/INTELLICYT,/funding-round/75b3317b670b77f59182139b2b94447c,venture,NA,28-07-2015,5444672.00,/Organization/Intellicyt,Intellicyt,http://intellicyt.com,Biotechnology,operating,USA,NM,Albuquerque,Albuquerque,1/1/2006,Biotechnology,1950,17796003033
658,Cleantech / Semiconductors,/organization/ alfred,/ORGANIZATION/ALFRED,/funding-round/f06e28083877943a81ff8c88f63a8d59,venture,A,14-04-2015,10500000.00,/Organization/Alfred,Hello Alfred,http://www.helloalfred.com,Home Automation|Services,operating,USA,NY,New York City,New York,1/9/2013,Home Automation,1950,17796003033
659,Cleantech / Semiconductors,/organization/ tigo-energy,/organization/tigo-energy,/funding-round/38cd8f465f56ac6224d0f128081eafde,venture,NA,28-02-2014,6500000.00,/Organization/Tigo-Energy,Tigo Energy,http://www.tigoenergy.com,Clean Technology,operating,USA,CA,SF Bay Area,Los Gatos,1/1/2007,Clean Technology,1950,17796003033
660,Cleantech / Semiconductors,/organization/ applied-optoelectronics-inc,/organization/applied-optoelectronics-inc,/funding-round/00d66b534fe2e4f82608a045278f50eb,venture,NA,8/4/2009,6326090.00,/Organization/Applied-Optoelectronics-Inc,Applied Optoelectronics,http://www.ao-inc.com,Semiconductors,ipo,USA,TX,Houston,Sugar Land,1/1/1997,Semiconductors,1950,17796003033
661,Cleantech / Semiconductors,/organization/ applied-optoelectronics-inc,/ORGANIZATION/APPLIED-OPTOELECTRONICS-INC,/funding-round/2bebfbb6650d65edb6c4537dcd584de2,venture,F,19-09-2012,10993849.00,/Organization/Applied-Optoelectronics-Inc,Applied Optoelectronics,http://www.ao-inc.com,Semiconductors,ipo,USA,TX,Houston,Sugar Land,1/1/1997,Semiconductors,1950,17796003033
662,Cleantech / Semiconductors,/organization/ rejuvenon,/organization/rejuvenon,/funding-round/499290f476bf2e52fee84fcc4bc0adc1,venture,A,1/1/2001,12000000.00,/Organization/Rejuvenon,Rejuvenon,http://rejuvenon.com/,Bio-Pharm|Biotechnology|Medical,operating,USA,TX,Houston,The Woodlands,NA,Bio-Pharm,1950,17796003033
663,Cleantech / Semiconductors,/organization/ lightspeed-genomics,/ORGANIZATION/LIGHTSPEED-GENOMICS,/funding-round/5f9d1e7b75314032c2166b6d13d5efd6,venture,A,19-09-2012,5082474.00,/Organization/Lightspeed-Genomics,Lightspeed Genomics,http://lsgen.com,Biotechnology|Health Diagnostics,operating,USA,CA,SF Bay Area,Santa Clara,1/1/2006,Biotechnology,1950,17796003033
664,Cleantech / Semiconductors,/organization/ advent-solar,/ORGANIZATION/ADVENT-SOLAR,/funding-round/58705ac18f796757c041605cfbc5f36a,venture,NA,10/12/2004,8000000.00,/Organization/Advent-Solar,Advent Solar,http://www.adventsolar.com,Clean Technology|Solar,acquired,USA,NM,Albuquerque,Albuquerque,NA,Clean Technology,1950,17796003033
